x,y,z
0,0,0
-0.900499,1.67815,0.296267
0.920191,1.49752,0.924107
1.79972,-0.414522,0.671469
-0.770078,0.462836,-1.68772
3.22906,0.67193,1.27892
-0.542453,-1.03465,-2.82273
-1.70908,0.0256939,-3.88757
-0.905225,0.543858,-5.56768
0.441945,0.154325,2.31171
4.62101,-0.729432,1.08278
5.06691,-1.54456,-0.674714
6.20287,-0.551281,2.04153
-0.678977,-2.17729,-4.30296
0.398413,0.798592,-3.2733
0.757424,-3.07302,-5.35025
-0.316789,2.78623,1.82308
0.589274,0.636181,-6.84144
4.07139,-0.858177,-2.03754
2.02772,0.284832,-7.98115
0.327623,1.91617,-8.22488
2.15964,2.64156,-8.40451
1.06886,3.9699,2.64307
6.67385,-0.42378,-0.661676
0.130403,4.32388,0.784391
1.97058,-3.14894,-6.78469
5.465,0.186092,-2.93223
2.17884,4.28565,4.08208
3.51647,-0.666758,-8.85808
0.844074,4.81226,5.31083
5.90251,-2.24548,2.94793
-0.904739,-1.74199,-6.21037
-1.40127,-0.139862,2.73593
8.27507,-1.57528,-0.949179
-0.342474,-1.63089,-8.05116
0.407003,6.02047,-0.0311882
-0.984129,4.96951,5.59848
-0.259755,2.62094,-3.36179
-0.507846,-2.75857,-9.65319
1.07643,-2.21676,-10.7005
2.61956,2.96592,5.3544
-0.985876,1.49673,-9.51151
2.06932,3.86034,-9.84621
-1.06346,1.5212,3.73155
0.542098,-3.3534,-12.1782
-1.38011,-3.60446,-5.75646
-0.316637,2.29428,5.33643
6.73707,-1.8118,4.58707
0.110739,3.84864,-9.67717
8.52767,-1.585,3.79588
-3.2629,0.05068,-2.76836
9.68416,-0.206979,3.40615
5.40578,-0.865669,-9.44763
6.81023,-1.56625,-8.22307
-1.44064,6.39416,4.29055
0.882136,1.55537,6.72713
-1.05203,1.76305,-11.3681
-1.34583,-4.34914,-3.92457
1.939,-4.65644,-5.27737
1.4015,0.585103,8.38353
-0.980673,1.60569,-13.2173
0.486488,0.627664,-14.0923
0.857216,-1.20803,8.86026
7.19865,-3.20371,-1.35743
8.0486,-2.86455,-8.88977
-0.842608,0.806919,-15.4998
0.669874,-2.54783,10.262
0.074324,-4.73531,-6.46074
2.21873,1.22598,9.95311
1.93284,3.09002,10.6126
0.395935,3.2879,9.60062
-0.508168,1.65131,-17.2592
-1.10911,5.14995,-8.80672
-0.898288,3.40687,-13.6697
10.1068,-1.07098,-1.35558
-1.42295,3.33262,-17.6367
7.47311,-3.66811,4.52331
-3.04096,5.62295,5.14723
-1.16489,2.30522,10.073
-1.82286,-0.440754,-16.7171
-0.854663,-3.71839,-13.5352
0.0566382,-0.937097,-17.0115
11.2164,0.531851,4.43926
13.0247,0.617872,3.78049
-4.30349,-1.60465,-2.7872
1.07559,-0.511814,-18.5828
-2.46688,-3.98661,-14.6211
1.26354,-0.00469514,11.1119
11.0371,-0.119608,6.28095
12.7087,-1.07284,2.83767
2.129,6.11587,5.62713
-0.723175,5.11037,-18.0224
6.47449,-5.35827,4.32168
0.435036,7.9579,-0.211531
11.7671,-0.836035,-2.02394
-4.1251,-3.68883,-13.5798
-1.56151,-6.14912,-3.16493
6.43779,-1.20388,-11.0556
0.223355,2.99992,-18.6408
0.178397,0.168449,-20.1757
1.08682,7.60873,6.32559
-0.869052,-6.40152,-6.13454
-0.285183,9.68195,-0.648484
7.88035,-3.92409,6.2731
2.52127,-1.74294,-18.1278
8.12318,0.644811,0.154682
0.859653,0.421225,-22.031
3.88697,-0.464646,-18.4933
