Period	Data_value	Type
2006.06	3.11	1
2006.07	2.78	1
2006.08	2.43	1
2006.09	2.42	1
2006.1	3.04	1
2006.11	3.24	1
2006.12	3.27	1
2007.01	3.18	1
2007.02	3.74	1
2007.03	4.21	1
2007.04	4.16	1
2007.05	4.29	1
2007.06	3.6	1
2007.07	3.14	1
2007.08	2.62	1
2007.09	2.47	1
2007.1	2.5	1
2007.11	2.93	1
2007.12	3.28	1
2008.01	3.16	1
2008.02	3.08	1
2008.03	3	1
2008.04	2.67	1
2008.05	2.66	1
2008.06	3.43	1
2008.07	3.19	1
2008.08	2.6	1
2008.09	2.73	1
2008.1	3.32	1
2008.11	3.62	1
2008.12	3.71	1
2009.01	4.48	1
2009.02	4.34	1
2009.03	4.06	1
2009.04	4.25	1
2009.05	4.21	1
2009.06	3.57	1
2009.07	3.21	1
2009.08	2.7	1
2009.09	2.62	1
2009.1	2.72	1
2009.11	2.96	1
2009.12	3.24	1
2010.01	3.47	1
2010.02	3.25	1
2010.03	3.21	1
2010.04	3.18	1
2010.05	3.45	1
2010.06	3.4	1
2010.07	3.11	1
2010.08	2.61	1
2010.09	2.52	1
2010.1	2.84	1
2010.11	3.58	1
2010.12	3.76	1
2011.01	3.72	1
2011.02	3.51	1
2011.03	2.98	1
2011.04	3.23	1
2011.05	3.54	1
2011.06	3.2	1
2011.07	2.65	1
2011.08	2.36	1
2011.09	2.64	1
2011.1	2.89	1
2011.11	2.97	1
2011.12	3.42	1
2012.01	3.28	1
2012.02	3.15	1
2012.03	2.94	1
2012.04	3.16	1
2012.05	3.32	1
2012.06	3.31	1
2012.07	2.72	1
2012.08	2.54	1
2012.09	2.5	1
2012.1	2.57	1
2012.11	2.85	1
2012.12	3.31	1
2013.01	2.99	1
2013.02	2.78	1
2013.03	2.83	1
2013.04	2.75	1
2013.05	3.18	1
2013.06	3.31	1
2013.07	2.69	1
2013.08	2.69	1
2013.09	2.68	1
2013.1	2.76	1
2013.11	3.1	1
2013.12	3.51	1
2014.01	3.47	1
2014.02	3.48	1
2014.03	3.63	1
2014.04	3.88	1
2014.05	3.79	1
2014.06	3.45	1
2014.07	3.02	1
2014.08	2.36	1
2014.09	2.43	1
2014.1	2.52	1
2014.11	2.62	1
2014.12	3.09	1
2015.01	3.51	1
2015.02	3.63	1
2015.03	3.6	1
2015.04	3.67	1
2015.05	3.56	1
2015.06	3.57	1
2015.07	3.02	1
2015.08	2.81	1
2015.09	2.86	1
2015.1	2.75	1
2015.11	3.11	1
2015.12	3.43	1
2016.01	3.9	1
2016.02	3.94	1
2016.03	3.85	1
2016.04	3.86	1
2016.05	4	1
2016.06	3.65	1
2016.07	3.07	1
2016.08	2.76	1
2016.09	2.56	1
2016.1	2.81	1
2016.11	2.91	1
2016.12	3.47	1
2017.01	3.71	1
2017.02	3.78	1
2017.03	3.64	1
2017.04	3.65	1
2017.05	3.98	1
2017.06	4.04	1
2017.07	3.59	1
2017.08	3.42	1
2017.09	2.93	1
2017.1	2.83	1
2017.11	2.77	1
2017.12	3.71	1
2018.01	4.12	1
2018.02	4.21	1
2018.03	4.27	1
2018.04	4.18	1
2018.05	4.35	1
2018.06	4.3	1
2018.07	3.45	1
2018.08	2.82	1
2006.06	1.66	2
2006.07	1.59	2
2006.08	1.83	2
2006.09	2.32	2
2006.1	2.48	2
2006.11	2.48	2
2006.12	2.4	2
2007.01	2.36	2
2007.02	2.48	2
2007.03	2.37	2
2007.04	2.34	2
2007.05	2.36	2
2007.06	2.29	2
2007.07	2.29	2
2007.08	2.29	2
2007.09	2.4	2
2007.1	2.37	2
2007.11	2.41	2
2007.12	2.38	2
2008.01	2.38	2
2008.02	2.36	2
2008.03	2.39	2
2008.04	2.44	2
2008.05	2.43	2
2008.06	2.37	2
2008.07	2.35	2
2008.08	2.43	2
2008.09	2.43	2
2008.1	2.58	2
2008.11	2.73	2
2008.12	2.71	2
2009.01	2.64	2
2009.02	2.74	2
2009.03	2.81	2
2009.04	2.97	2
2009.05	2.89	2
2009.06	2.92	2
2009.07	2.78	2
2009.08	2.79	2
2009.09	2.86	2
2009.1	2.8	2
2009.11	2.72	2
2009.12	2.83	2
2010.01	2.88	2
2010.02	2.86	2
2010.03	2.87	2
2010.04	2.79	2
2010.05	2.63	2
2010.06	2.6	2
2010.07	2.77	2
2010.08	2.79	2
2010.09	2.81	2
2010.1	2.86	2
2010.11	2.75	2
2010.12	2.8	2
2011.01	2.82	2
2011.02	2.85	2
2011.03	2.75	2
2011.04	2.62	2
2011.05	2.7	2
2011.06	2.7	2
2011.07	2.71	2
2011.08	2.13	2
2011.09	2.64	2
2011.1	2.81	2
2011.11	2.77	2
2011.12	2.79	2
2012.01	2.84	2
2012.02	2.74	2
2012.03	2.73	2
2012.04	2.55	2
2012.05	2.62	2
2012.06	2.59	2
2012.07	2.36	2
2012.08	2.57	2
2012.09	2.55	2
2012.1	2.47	2
2012.11	2.53	2
2012.12	2.63	2
2013.01	2.67	2
2013.02	2.55	2
2013.03	2.8	2
2013.04	2.78	2
2013.05	2.67	2
2013.06	2.54	2
2013.07	2.56	2
2013.08	2.53	2
2013.09	2.68	2
2013.1	2.65	2
2013.11	2.67	2
2013.12	2.64	2
2014.01	2.73	2
2014.02	2.81	2
2014.03	2.73	2
2014.04	2.7	2
2014.05	2.33	2
2014.06	2.24	2
2014.07	2.61	2
2014.08	2.63	2
2014.09	2.77	2
2014.1	2.79	2
2014.11	2.79	2
2014.12	2.83	2
2015.01	2.89	2
2015.02	2.97	2
2015.03	3.05	2
2015.04	2.95	2
2015.05	2.61	2
2015.06	2.72	2
2015.07	2.77	2
2015.08	3.02	2
2015.09	3.05	2
2015.1	2.92	2
2015.11	2.93	2
2015.12	3.12	2
2016.01	3.11	2
2016.02	3.16	2
2016.03	3.23	2
2016.04	3.05	2
2016.05	3.05	2
2016.06	2.92	2
2016.07	2.87	2
2016.08	3.51	2
2016.09	3.05	2
2016.1	2.93	2
2016.11	2.82	2
2016.12	2.88	2
2017.01	2.84	2
2017.02	3.04	2
2017.03	3.22	2
2017.04	2.92	2
2017.05	2.77	2
2017.06	2.59	2
2017.07	2.73	2
2017.08	2.93	2
2017.09	2.83	2
2017.1	2.66	2
2017.11	2.82	2
2017.12	2.71	2
2018.01	2.89	2
2018.02	2.88	2
2018.03	2.87	2
2018.04	2.82	2
2018.05	2.69	2
2018.06	2.48	2
2018.07	2.51	2
2018.08	2.72	2
2006.06	1.89	3
2006.07	2.01	3
2006.08	2.15	3
2006.09	2.26	3
2006.1	2.63	3
2006.11	2.79	3
2006.12	3.29	3
2007.01	3.89	3
2007.02	2.85	3
2007.03	2.22	3
2007.04	2.02	3
2007.05	1.89	3
2007.06	1.89	3
2007.07	1.98	3
2007.08	2.11	3
2007.09	2.13	3
2007.1	2.18	3
2007.11	2.55	3
2007.12	3.24	3
2008.01	3.37	3
2008.02	2.63	3
2008.03	2	3
2008.04	2.05	3
2008.05	2.01	3
2008.06	2.28	3
2008.07	2.53	3
2008.08	2.64	3
2008.09	2.79	3
2008.1	3.12	3
2008.11	3.67	3
2008.12	4.48	3
2009.01	3.97	3
2009.02	2.88	3
2009.03	2.4	3
2009.04	2.25	3
2009.05	2.24	3
2009.06	2.44	3
2009.07	2.44	3
2009.08	2.45	3
2009.09	2.6	3
2009.1	2.62	3
2009.11	2.83	3
2009.12	3.33	3
2010.01	3.57	3
2010.02	2.62	3
2010.03	2.11	3
2010.04	2.07	3
2010.05	2.18	3
2010.06	2.12	3
2010.07	2.3	3
2010.08	2.47	3
2010.09	2.45	3
2010.1	2.76	3
2010.11	2.97	3
2010.12	3.39	3
2011.01	3.69	3
2011.02	2.91	3
2011.03	2.17	3
2011.04	2.24	3
2011.05	2.2	3
2011.06	2.41	3
2011.07	2.35	3
2011.08	2.45	3
2011.09	2.54	3
2011.1	2.75	3
2011.11	2.79	3
2011.12	3.19	3
2012.01	3.39	3
2012.02	3.05	3
2012.03	2.31	3
2012.04	2.36	3
2012.05	2.37	3
2012.06	2.31	3
2012.07	2.44	3
2012.08	2.73	3
2012.09	2.75	3
2012.1	2.9	3
2012.11	3.34	3
2012.12	3.82	3
2013.01	4.12	3
2013.02	3.6	3
2013.03	2.41	3
2013.04	2.37	3
2013.05	2.25	3
2013.06	2.33	3
2013.07	2.56	3
2013.08	2.58	3
2013.09	2.72	3
2013.1	2.96	3
2013.11	3.24	3
2013.12	3.81	3
2014.01	4.2	3
2014.02	2.94	3
2014.03	2.31	3
2014.04	2.46	3
2014.05	2.56	3
2014.06	2.54	3
2014.07	2.63	3
2014.08	2.64	3
2014.09	2.89	3
2014.1	3.09	3
2014.11	3.6	3
2014.12	3.86	3
2015.01	4.77	3
2015.02	3.67	3
2015.03	2.48	3
2015.04	2.27	3
2015.05	2.13	3
2015.06	2.28	3
2015.07	2.49	3
2015.08	2.6	3
2015.09	2.55	3
2015.1	2.77	3
2015.11	2.98	3
2015.12	3.45	3
2016.01	3.95	3
2016.02	3.34	3
2016.03	2.67	3
2016.04	2.44	3
2016.05	2.32	3
2016.06	2.28	3
2016.07	2.57	3
2016.08	2.49	3
2016.09	2.77	3
2016.1	2.71	3
2016.11	3.26	3
2016.12	3.6	3
2017.01	5.04	3
2017.02	4.4	3
2017.03	2.88	3
2017.04	2.52	3
2017.05	2.4	3
2017.06	2.62	3
2017.07	2.71	3
2017.08	2.59	3
2017.09	2.71	3
2017.1	2.99	3
2017.11	3.3	3
2017.12	3.37	3
2018.01	3.83	3
2018.02	3.21	3
2018.03	2.7	3
2018.04	2.51	3
2018.05	2.23	3
2018.06	2.29	3
2018.07	2.5	3
2018.08	2.54	3
2006.06	1.73	4
2006.07	1.82	4
2006.08	1.92	4
2006.09	1.99	4
2006.1	1.74	4
2006.11	2.28	4
2006.12	3.2	4
2007.01	4.89	4
2007.02	5.28	4
2007.03	5.52	4
2007.04	4.01	4
2007.05	1.96	4
2007.06	1.55	4
2007.07	1.66	4
2007.08	1.79	4
2007.09	1.97	4
2007.1	2.18	4
2007.11	2.51	4
2007.12	2.97	4
2008.01	3.85	4
2008.02	4.43	4
2008.03	5.2	4
2008.04	3.66	4
2008.05	1.92	4
2008.06	1.65	4
2008.07	1.84	4
2008.08	2.18	4
2008.09	2.41	4
2008.1	2.53	4
2008.11	3.11	4
2008.12	3.98	4
2009.01	5.89	4
2009.02	6.84	4
2009.03	6.58	4
2009.04	2.98	4
2009.05	1.49	4
2009.06	1.56	4
2009.07	1.58	4
2009.08	1.78	4
2009.09	2.39	4
2009.1	2.74	4
2009.11	3.1	4
2009.12	3.61	4
2010.01	5	4
2010.02	4.71	4
2010.03	4.75	4
2010.04	3.02	4
2010.05	1.53	4
2010.06	1.58	4
2010.07	1.9	4
2010.08	2.08	4
2010.09	2.28	4
2010.1	2.51	4
2010.11	3.05	4
2010.12	4.2	4
2011.01	5.71	4
2011.02	5.99	4
2011.03	6.3	4
2011.04	4.58	4
2011.05	1.79	4
2011.06	1.78	4
2011.07	1.9	4
2011.08	2.03	4
2011.09	2.17	4
2011.1	2.35	4
2011.11	3.02	4
2011.12	3.61	4
2012.01	4.03	4
2012.02	5.08	4
2012.03	5.66	4
2012.04	4.63	4
2012.05	2.29	4
2012.06	1.99	4
2012.07	1.87	4
2012.08	2.17	4
2012.09	2.38	4
2012.1	2.54	4
2012.11	3.19	4
2012.12	4.09	4
2013.01	5.12	4
2013.02	5.96	4
2013.03	6.19	4
2013.04	4.73	4
2013.05	2.45	4
2013.06	2	4
2013.07	1.9	4
2013.08	1.97	4
2013.09	2.07	4
2013.1	2.32	4
2013.11	3.16	4
2013.12	4.38	4
2014.01	5.66	4
2014.02	5.87	4
2014.03	5.86	4
2014.04	4.05	4
2014.05	2.48	4
2014.06	2.09	4
2014.07	2.01	4
2014.08	2.16	4
2014.09	2.06	4
2014.1	2.19	4
2014.11	2.83	4
2014.12	4.42	4
2015.01	6.49	4
2015.02	6.54	4
2015.03	6.68	4
2015.04	5.17	4
2015.05	2.96	4
2015.06	2.45	4
2015.07	2.48	4
2015.08	2.61	4
2015.09	2.63	4
2015.1	3.04	4
2015.11	4.28	4
2015.12	5.2	4
2016.01	5.89	4
2016.02	5.83	4
2016.03	6.27	4
2016.04	5.19	4
2016.05	2.72	4
2016.06	2.31	4
2016.07	2.1	4
2016.08	2.19	4
2016.09	2.48	4
2016.1	2.74	4
2016.11	3.16	4
2016.12	3.65	4
2017.01	4.9	4
2017.02	5.84	4
2017.03	6.26	4
2017.04	5.96	4
2017.05	3.64	4
2017.06	2.73	4
2017.07	2.55	4
2017.08	2.86	4
2017.09	3.25	4
2017.1	3.42	4
2017.11	4.22	4
2017.12	5.55	4
2018.01	6.35	4
2018.02	6.7	4
2018.03	6.87	4
2018.04	5.79	4
2018.05	3.5	4
2018.06	2.58	4
2018.07	2.37	4
2018.08	2.37	4
2006.06	1.49	5
2006.07	1.5	5
2006.08	1.53	5
2006.09	1.57	5
2006.1	1.56	5
2006.11	1.56	5
2006.12	1.53	5
2007.01	1.6	5
2007.02	1.59	5
2007.03	1.59	5
2007.04	1.59	5
2007.05	1.62	5
2007.06	1.57	5
2007.07	1.52	5
2007.08	1.48	5
2007.09	1.52	5
2007.1	1.47	5
2007.11	1.49	5
2007.12	1.51	5
2008.01	1.56	5
2008.02	1.55	5
2008.03	1.56	5
2008.04	1.58	5
2008.05	1.66	5
2008.06	1.69	5
2008.07	1.8	5
2008.08	1.86	5
2008.09	1.81	5
2008.1	1.84	5
2008.11	1.83	5
2008.12	1.86	5
2009.01	1.92	5
2009.02	2	5
2009.03	1.99	5
2009.04	2.05	5
2009.05	2.14	5
2009.06	2.14	5
2009.07	2.06	5
2009.08	2.15	5
2009.09	2.15	5
2009.1	2.06	5
2009.11	2.06	5
2009.12	2.1	5
2010.01	2.03	5
2010.02	2.04	5
2010.03	2.09	5
2010.04	2.06	5
2010.05	2.06	5
2010.06	2.08	5
2010.07	2.02	5
2010.08	2.08	5
2010.09	2.03	5
2010.1	2.17	5
2010.11	2.06	5
2010.12	2.04	5
2011.01	2.11	5
2011.02	2.17	5
2011.03	2.27	5
2011.04	2.2	5
2011.05	2.17	5
2011.06	2.18	5
2011.07	2.22	5
2011.08	2.11	5
2011.09	2.07	5
2011.1	2.12	5
2011.11	2.12	5
2011.12	2.13	5
2012.01	2.18	5
2012.02	2.17	5
2012.03	2.3	5
2012.04	2.26	5
2012.05	2.25	5
2012.06	2.25	5
2012.07	2.26	5
2012.08	2.28	5
2012.09	2.19	5
2012.1	2.19	5
2012.11	2.22	5
2012.12	2.14	5
2013.01	2.23	5
2013.02	2.34	5
2013.03	2.27	5
2013.04	2.22	5
2013.05	2.19	5
2013.06	2.16	5
2013.07	2.08	5
2013.08	2.16	5
2013.09	2.14	5
2013.1	2.23	5
2013.11	2.22	5
2013.12	2.07	5
2014.01	2.17	5
2014.02	2.17	5
2014.03	2.21	5
2014.04	2.12	5
2014.05	2.11	5
2014.06	1.87	5
2014.07	2.29	5
2014.08	2.27	5
2014.09	2.21	5
2014.1	2.13	5
2014.11	2.1	5
2014.12	2.05	5
2015.01	2.05	5
2015.02	2.11	5
2015.03	2.09	5
2015.04	2.1	5
2015.05	2.17	5
2015.06	2.23	5
2015.07	2.09	5
2015.08	2.13	5
2015.09	2.05	5
2015.1	2.16	5
2015.11	2.05	5
2015.12	2.08	5
2016.01	2.11	5
2016.02	2.12	5
2016.03	2.13	5
2016.04	2.19	5
2016.05	2.14	5
2016.06	2.33	5
2016.07	2.29	5
2016.08	2.32	5
2016.09	2.3	5
2016.1	2.3	5
2016.11	2.25	5
2016.12	2.18	5
2017.01	2.24	5
2017.02	2.29	5
2017.03	2.26	5
2017.04	2.29	5
2017.05	2.22	5
2017.06	2.42	5
2017.07	2.38	5
2017.08	2.17	5
2017.09	2.43	5
2017.1	2.29	5
2017.11	2.33	5
2017.12	2.28	5
2018.01	2.35	5
2018.02	2.15	5
2018.03	2.14	5
2018.04	2.1	5
2018.05	2.18	5
2018.06	2.25	5
2018.07	2.34	5
2018.08	2.02	5
2006.06	1.59	6
2006.07	1.65	6
2006.08	1.6	6
2006.09	1.48	6
2006.1	1.54	6
2006.11	1.58	6
2006.12	1.57	6
2007.01	1.62	6
2007.02	1.39	6
