zip lat lon u25 u50 u75 u100 u200 o200
35004 33.6034 -86.4938 1510 1280 920 630 590 50
35005 33.596 -87.0006 1360 1030 460 220 180 0
35006 33.4228 -87.2097 460 320 190 130 150 0
35007 33.2156 -86.7977 4180 2640 1870 1410 1700 220
35010 32.9167 -85.9406 3850 2130 890 560 540 150
35014 33.3559 -86.2617 670 480 210 150 140 0
35016 34.3239 -86.502 2870 1640 1030 670 680 100
35019 34.3021 -86.6341 390 260 120 70 70 0
35020 33.4024 -86.9518 6070 2540 710 230 170 0
35022 33.3228 -86.9715 3240 2270 1520 980 1350 180
35023 33.4678 -87.0882 3730 2830 1530 990 960 90
35031 34.0975 -86.555 1250 820 420 200 170 0
35033 33.9265 -87.0318 500 340 210 140 130 20
35034 32.9111 -87.2717 730 380 150 80 90 0
35035 33.0437 -86.9684 230 130 90 40 70 0
35040 33.103 -86.7289 2320 1970 1370 800 680 60
35042 32.958 -87.1038 940 580 300 190 190 20
35043 33.3148 -86.6599 1200 770 650 650 1140 210
35044 33.244 -86.3808 1510 790 420 250 190 30
35045 32.8 -86.6768 2520 1420 750 430 420 60
35046 32.9311 -86.5342 960 610 350 230 240 40
35049 33.9618 -86.6121 540 400 250 170 150 0
35051 33.205 -86.6189 1360 790 430 320 390 100
35053 34.0542 -87.0737 330 230 150 100 110 40
35054 33.502 -86.3379 620 360 240 230 250 50
35055 34.1511 -86.7588 3210 2130 1040 640 680 170
35057 34.1805 -86.9343 2060 1330 720 470 490 90
35058 34.2289 -86.7373 1720 1110 570 390 320 90
35061 33.472 -86.9559 300 180 80 30 30 0
35062 33.7249 -87.0103 1120 780 510 380 400 40
35063 33.8183 -87.0206 510 350 190 90 80 0
35064 33.4761 -86.9203 2510 1300 460 220 210 0
35068 33.6075 -86.8311 1200 1170 630 320 300 30
35071 33.695 -86.8481 2310 1780 1150 860 1010 170
35072 33.0935 -86.0669 790 570 220 140 80 0
35073 33.6512 -86.9868 410 300 140 80 50 0
35077 34.0212 -86.8327 2220 1420 740 410 300 30
35078 33.3244 -86.445 380 240 110 80 90 0
35079 33.9379 -86.7583 1160 850 640 440 310 30
35080 33.2601 -86.9115 2000 1380 1200 1070 1540 230
